time, pm2.5, pm10
2018-05-17 20:40:46.831208,42,44
2018-05-17 20:40:51.941877,44,46
2018-05-17 20:40:57.047830,47,49
2018-05-17 20:41:02.152709,46,48
2018-05-17 20:41:07.264306,44,46
2018-05-17 20:41:12.374610,43,45
2018-05-17 20:41:17.480050,43,45
2018-05-17 20:41:22.582924,43,45
2018-05-17 20:41:27.694556,41,43
2018-05-17 20:41:32.805310,40,42
2018-05-17 20:41:37.916342,41,43
2018-05-17 20:41:43.005806,45,47
2018-05-17 20:41:48.116568,47,49
2018-05-17 20:41:53.227099,44,46
2018-05-17 20:41:58.340774,43,45
2018-05-17 20:42:03.454376,42,44
2018-05-17 20:42:08.565986,40,42
2018-05-17 20:42:13.654459,40,42
2018-05-17 20:42:18.765928,40,42
2018-05-17 20:42:23.876523,42,44
2018-05-17 20:42:28.987038,41,43
2018-05-17 20:42:34.101175,38,40
2018-05-17 20:42:39.209771,38,40
2018-05-17 20:42:44.319570,40,42
2018-05-17 20:42:49.430446,40,42
2018-05-17 20:42:54.540356,39,41
2018-05-17 20:42:59.650234,38,40
2018-05-17 20:43:04.759778,36,38
2018-05-17 20:43:09.868912,35,37
2018-05-17 20:43:14.978956,38,40
2018-05-17 20:43:20.089779,42,44
2018-05-17 20:43:25.200172,41,43
2018-05-17 20:43:30.310783,37,39
2018-05-17 20:43:35.405987,38,40
2018-05-17 20:43:40.503513,38,40
2018-05-17 20:43:45.617036,35,37
2018-05-17 20:43:50.729944,32,34
2018-05-17 20:43:55.843540,32,34
2018-05-17 20:44:00.962691,33,35
2018-05-17 20:44:06.077790,31,33
2018-05-17 20:44:11.191412,31,33
2018-05-17 20:44:16.302914,36,38
2018-05-17 20:44:21.417573,39,41
2018-05-17 20:44:26.530774,38,40
2018-05-17 20:44:31.637034,36,38
2018-05-17 20:44:36.750247,36,38
2018-05-17 20:44:41.856770,36,38
2018-05-17 20:44:46.970026,41,43
2018-05-17 20:44:52.089474,40,42
